Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
8099,GoHost Server,Nuremberg,2022-02-12T08:52:17.436825Z,277.9817902100871,27.29,20908217.2867196,28874617.76018291,,188.98.69.121
46873,SSSystems,Pratteln,2022-02-12T09:53:10.656370Z,67.46322535869479,29.002,14517175.942292392,30295050.38065987,,188.98.69.121
46873,SSSystems,Pratteln,2022-02-12T10:54:05.356960Z,67.46322535869479,29.203,17069462.752091624,28050309.13764792,,188.98.69.121
46873,SSSystems,Pratteln,2022-02-12T11:54:58.413858Z,67.46322535869479,28.808,15546281.373330604,29481907.05608249,,188.98.69.121
15728,Monzoon Networks AG,Zurich,2022-02-12T12:55:54.797950Z,97.17215613015175,29.736,17971194.892108005,30364474.105999447,,188.98.69.121
43030,Init7 AG,Winterthur,2022-02-12T13:56:47.344933Z,96.06012163406261,30.905,10368066.241185643,29586878.439512044,,188.98.69.121
18613,TelemaxX Telekommunikation GmbH,Karlsruhe,2022-02-12T14:57:46.668084Z,107.42644051320912,26.327,23832499.372463327,27334933.92681104,,188.98.69.121
41540,Mainzer Breitband GmbH,Mainz,2022-02-12T15:58:42.997113Z,210.7304852260182,25.945,20917236.089870594,19710467.017596327,,188.98.69.121
36366,Pingless.com,Frankfurt,2022-02-12T16:47:11.712101Z,229.9869320376853,22.315,10060315.22873456,29462983.48796885,,188.98.69.121
41540,Mainzer Breitband GmbH,Mainz,2022-02-12T17:06:49.032867Z,210.7304852260182,25.004,21656766.668409176,18694461.05936779,,188.98.69.121
4462,Mobile Breitbandnetze GmbH,Freisbach,2022-02-12T18:07:42.931773Z,132.22754360226818,24.44,17849800.11762374,29743106.065577038,,188.98.69.121
4462,Mobile Breitbandnetze GmbH,Freisbach,2022-02-12T19:08:36.257117Z,132.22754360226818,23.499,20678230.73293772,29994185.099693842,,188.98.69.121
18613,TelemaxX Telekommunikation GmbH,Karlsruhe,2022-02-12T20:09:33.617398Z,107.42644051320912,26.268,18750529.112571023,21024790.726428337,,188.98.69.121
36366,Pingless.com,Frankfurt,2022-02-12T21:10:29.330048Z,229.9869320376853,26.142,8637024.365395749,30279068.193579063,,188.98.69.121
36366,Pingless.com,Frankfurt,2022-02-12T22:11:26.580085Z,229.9869320376853,26.453,10124888.068439653,24986294.81162606,,188.98.69.121
29543,ORANGE FRANCE,Strasbourg,2022-02-12T23:12:21.477169Z,52.610115790286635,26.124,9023109.5921127,28933076.625770338,,188.98.69.121
35692,Clouvider Ltd,Frankfurt Am Main,2022-02-13T00:13:17.744206Z,229.9869320376853,25.585,25621372.442131404,13730826.80803452,,188.98.69.121
29543,ORANGE FRANCE,Strasbourg,2022-02-13T01:14:14.288967Z,52.610115790286635,29.586,12609622.619751222,28077152.866547655,,188.98.69.121
29543,ORANGE FRANCE,Strasbourg,2022-02-13T02:15:17.338080Z,52.610115790286635,28.044,9099336.828844419,29110400.64223769,,188.98.69.121
24815,AltusHost B.V.,Zurich,2022-02-13T03:16:16.710797Z,97.7719243414399,31.068,14666017.902930036,28525254.324927468,,188.98.69.121
34530,GGEW net GmbH,Bensheim,2022-02-13T04:17:11.366166Z,183.45880234559672,29.901,6686078.545649432,29388991.192510102,,188.98.69.121
45479,Netprotect,Zurich,2022-02-13T05:18:14.625031Z,93.50559719844654,29.739,14609713.297747,28854912.540926453,,188.98.69.121
28472,Wingo,Herden,2022-02-13T06:19:10.977263Z,97.49753626002565,32.179,8902247.836822702,29598718.938513003,,188.98.69.121
28472,Wingo,Herden,2022-02-13T07:20:09.060183Z,97.49753626002565,30.404,5856997.284196878,29233752.077958837,,188.98.69.121
5155,FSIT AG,Dietikon,2022-02-13T08:21:07.815604Z,89.66280260766348,29.828,26279135.172085512,31280513.430850238,,188.98.69.121
43030,Init7 AG,Winterthur,2022-02-13T09:22:01.419747Z,96.06012163406261,31.333,3473080.3972887145,31248744.697764333,,188.98.69.121
15728,Monzoon Networks AG,Zurich,2022-02-13T10:23:02.521742Z,97.17215613015175,32.02,25531935.3349558,27456025.46237539,,188.98.69.121
3188,iway AG,Zurich,2022-02-13T11:23:58.154975Z,93.50559719844654,32.296,2681609.2725817966,30171954.910008855,,188.98.69.121
6251,Netrics Zürich AG,Zürich,2022-02-13T12:24:55.514659Z,97.7719243414399,32.749,15319874.005525488,33413172.86962691,,188.98.69.121
21987,imos,Goeppingen,2022-02-13T13:25:55.953623Z,148.35467277691222,32.13,27291809.05009471,29479947.287363138,,188.98.69.121
29543,ORANGE FRANCE,Strasbourg,2022-02-13T14:26:52.678817Z,52.610115790286635,25.008,15264409.784255171,28030823.2996599,,188.98.69.121
40094,PVDataNet,Frankfurt,2022-02-13T15:27:45.564985Z,229.9869320376853,25.925,15884040.575207677,18687172.539769374,,188.98.69.121
18613,TelemaxX Telekommunikation GmbH,Karlsruhe,2022-03-03T20:49:28.491528Z,71.0100432941632,19.312,80008079.08687681,34786320.32099637,,84.56.169.184
41540,Mainzer Breitband GmbH,Mainz,2022-03-03T20:50:33.511972Z,164.02398431835988,16.104,81281557.01826952,28523012.24552711,,84.56.169.184
4462,Mobile Breitbandnetze GmbH,Freisbach,2022-03-05T19:22:47.928509Z,96.86414232735945,18.025,76892527.50636773,34879348.09283449,,84.56.169.184
28818,Pfalzkom GMBH,Ludwigshafen,2022-03-05T20:23:33.331480Z,107.59312031506467,17.353,80394069.2900296,34750977.1987792,,84.56.169.184
28624,Händle & Korte GmbH,Dusseldorf,2022-03-05T21:24:18.895883Z,334.20517640858515,20.627,80287822.3519842,34628419.93319454,,84.56.169.184
40873,Vodafone DE,Frankfurt,2022-03-06T13:45:26.435939Z,165.92804753550263,16.478,77907686.41157864,33900154.92086672,,84.56.169.184
36366,Pingless.com,Frankfurt,2022-03-06T14:39:19.782118Z,165.92804753550263,19.167,80532538.2017906,35204934.361571595,,84.56.169.184
4462,Mobile Breitbandnetze GmbH,Freisbach,2022-03-06T14:46:11.968345Z,96.86414232735945,17.95,71880114.5576803,33115813.733575437,,84.56.169.184
41540,Mainzer Breitband GmbH,Mainz,2022-03-06T15:30:44.028518Z,164.02398431835988,16.158,75939828.82416312,28073138.753543496,,84.56.169.184
